date,country,age,sex,fatal,activity,type
April,,24.0,M,N,surfing,Unprovoked
April,USA,15.0,M,N,surfing,Unprovoked
April,SOUTH AFRICA,,M,N,vessel related,Unprovoked
April,AUSTRALIA,12.0,M,N,swimming,Unprovoked
April,,22.0,M,N,fishing,Provoked
April,,26.0,M,N,fishing,Provoked
April,USA,26.0,M,N,fishing,Unprovoked
April,,69.0,F,Y,Close to the water,Unprovoked
April,,60.0,M,,other activity,
April,USA,34.0,M,N,fishing,Unprovoked
April,USA,,M,,other activity,
March,USA,46.0,F,N,swimming,Unprovoked
March,AUSTRALIA,22.0,M,N,surfing,Unprovoked
March,USA,,M,,other activity,Unprovoked
March,AUSTRALIA,41.0,M,N,surfing,Unprovoked
March,,9.0,M,N,other activity,Provoked
March,USA,,,,surfing,
March,USA,19.0,M,N,surfing,Unprovoked
March,,45.0,M,Y,swimming,Unprovoked
March,USA,12.0,M,N,other activity,Unprovoked
March,AUSTRALIA,,M,N,fishing,Unprovoked
March,,41.0,M,N,swimming,Unprovoked
February,,21.0,M,N,surfing,Unprovoked
February,,31.0,M,N,fishing,Unprovoked
February,,,F,N,Close to the water,Unprovoked
February,,65.0,M,,other activity,
February,AUSTRALIA,,M,,surfing,
February,AUSTRALIA,45.0,F,N,Close to the water,Unprovoked
February,AUSTRALIA,40.0,M,N,surfing,Unprovoked
February,,41.0,M,N,swimming,Unprovoked
January,SOUTH AFRICA,,M,N,fishing,
January,USA,,M,N,surfing,Unprovoked
January,USA,15.0,F,N,surfing,Unprovoked
January,USA,,M,N,fishing,Unprovoked
January,,,M,N,fishing,
January,USA,48.0,M,N,surfing,Unprovoked
January,AUSTRALIA,,M,N,surfing,Unprovoked
January,AUSTRALIA,11.0,M,N,Close to the water,Unprovoked
January,AUSTRALIA,31.0,M,N,fishing,Unprovoked
December,SOUTH AFRICA,,M,N,fishing,
December,,38.0,F,N,swimming,Unprovoked
December,USA,71.0,M,N,surfing,Unprovoked
December,AUSTRALIA,43.0,M,N,surfing,Unprovoked
December,,32.0,M,N,swimming,Unprovoked
December,,58.0,M,Y,other activity,Unprovoked
December,AUSTRALIA,,,N,fishing,
December,,26.0,M,N,fishing,Unprovoked
December,SOUTH AFRICA,22.0,F,N,swimming,Unprovoked
November,,55.0,M,N,swimming,Unprovoked
November,USA,,M,N,surfing,Unprovoked
November,USA,,F,N,swimming,Unprovoked
November,USA,28.0,M,N,surfing,Unprovoked
November,AUSTRALIA,20.0,M,N,surfing,Unprovoked
November,USA,9.0,F,,surfing,
November,USA,54.0,M,N,swimming,Unprovoked
November,USA,28.0,F,N,Close to the water,Unprovoked
November,,19.0,M,N,fishing,Unprovoked
October,AUSTRALIA,50.0,M,N,fishing,Unprovoked
October,USA,10.0,M,N,surfing,Unprovoked
October,SOUTH AFRICA,42.0,M,N,surfing,Unprovoked
October,USA,21.0,M,N,surfing,Unprovoked
October,USA,21.0,M,N,surfing,Unprovoked
October,,35.0,F,Y,fishing,Unprovoked
October,USA,32.0,M,,surfing,
October,USA,44.0,M,N,swimming,Unprovoked
October,USA,,M,N,fishing,
October,USA,9.0,F,N,surfing,Unprovoked
October,USA,25.0,M,N,surfing,Unprovoked
October,,,M,N,fishing,Unprovoked
October,AUSTRALIA,18.0,M,N,surfing,Unprovoked
October,USA,22.0,M,N,surfing,Unprovoked
October,USA,13.0,M,N,Close to the water,Unprovoked
October,USA,14.0,M,N,surfing,Unprovoked
September,USA,22.0,M,N,surfing,Unprovoked
September,AUSTRALIA,7.0,F,N,swimming,Unprovoked
September,USA,,M,N,fishing,
September,USA,14.0,M,N,surfing,Unprovoked
September,USA,27.0,M,N,fishing,Unprovoked
September,USA,12.0,M,N,Close to the water,Unprovoked
September,USA,16.0,M,N,other activity,Unprovoked
September,USA,,M,N,fishing,
September,USA,,M,N,swimming,Unprovoked
September,USA,20.0,M,N,surfing,Unprovoked
September,AUSTRALIA,42.0,M,N,surfing,Unprovoked
September,USA,50.0,F,N,surfing,Unprovoked
September,USA,29.0,M,N,fishing,Provoked
September,AUSTRALIA,62.0,M,N,vessel related,Unprovoked
September,USA,,M,N,other activity,Unprovoked
September,,37.0,F,N,Close to the water,Unprovoked
September,,,M,N,fishing,Unprovoked
August,USA,54.0,F,N,surfing,Unprovoked
August,USA,21.0,M,N,surfing,Unprovoked
August,USA,,M,,other activity,
August,AUSTRALIA,38.0,M,N,surfing,Unprovoked
August,USA,15.0,M,N,surfing,Unprovoked
August,USA,10.0,F,N,Close to the water,Unprovoked
August,USA,22.0,M,N,fishing,
August,,10.0,M,,swimming,
August,USA,57.0,M,N,fishing,Provoked
July,AUSTRALIA,52.0,M,N,surfing,Unprovoked
July,,47.0,M,N,surfing,Unprovoked
July,AUSTRALIA,40.0,M,,surfing,
July,USA,25.0,M,N,surfing,Unprovoked
July,USA,35.0,F,,swimming,
July,AUSTRALIA,46.0,M,Y,swimming,Unprovoked
July,USA,31.0,M,N,fishing,Provoked
July,AUSTRALIA,40.0,M,N,surfing,Unprovoked
July,,45.0,M,N,surfing,Unprovoked
July,SOUTH AFRICA,34.0,M,N,surfing,Unprovoked
July,USA,38.0,M,N,surfing,Unprovoked
July,USA,39.0,M,,Close to the water,
July,,,M,,swimming,
July,,23.0,F,N,fishing,Unprovoked
July,USA,32.0,M,N,other activity,Unprovoked
July,AUSTRALIA,52.0,M,N,surfing,Unprovoked
July,AUSTRALIA,32.0,M,N,surfing,Unprovoked
July,USA,68.0,M,N,swimming,Unprovoked
June,AUSTRALIA,,M,N,surfing,Unprovoked
June,USA,12.0,M,N,other activity,Unprovoked
June,USA,18.0,M,N,swimming,Unprovoked
